"unit_id","transition_id","model","repeat","removal_candidate","cosmetic_split","C01","C03","C04","C05","C06","C07","C08","C09","C11","C12","C13","C14","C15","C16","C01_direction","C03_direction","C04_direction","C05_direction","C06_direction","C07_direction","C08_direction","C04_facet","c07_requires_c14"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","true","false","0","0","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","dropped","NA","NA","NA","NA","false"
"ANT-RSP-v1-0-0034","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","true","false","0","0","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","dropped","NA","NA","NA","NA","false"
"ANT-RSP-v1-0-0108","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","true","false","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","removed","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v1-0-0204","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","true","false","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v1-0-0224","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","true","false","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v1-0-0244","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","true","false","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0001","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","1","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","A-motivation","NA","false"
"ANT-RSP-v2-0-0002","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0003","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0004","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0005","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0006","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0007","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0008","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0009","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0010","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","1","0","1","0","1","0","0","0","NA","NA","NA","NA","NA","NA","A-framing","NA","false"
"ANT-RSP-v2-0-0011","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0012","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0013","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0014","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0015","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0016","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0017","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0018","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0019","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","1","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0020","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0021","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0022","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","1","0","0","0","0","0","0","0","0","0","0","1","NA","NA","loosened","NA","NA","NA","NA","modality","false"
"ANT-RSP-v2-0-0023","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
"ANT-RSP-v2-0-0024","ANT-RSP-v1-0_v2-0","claude-sonnet-5","1","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","false"
