"unit_id","transition_id","code_id","model","repeat","value","direction","facet","evidence","flag","ambiguity_reason","code_family"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C01","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C03","claude-sonnet-5","1","1","removed","NA","""Autonomy"" captures the potential misuse of AI models with significant capacity for agency and flexible action/tool use over long time horizons and across multiple domains.","clear","NA","change"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C04","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C05","claude-sonnet-5","1","1","dropped","NA","""Autonomy"" captures the potential misuse of AI models with significant capacity for agency and flexible action/tool use over long time horizons and across multiple domains.","clear","NA","change"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C06","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C07","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C08","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C09","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C11","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C12","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C13","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C14","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C15","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","C16","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C01","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C03","claude-sonnet-5","1","1","removed","NA","Autonomy: Risks of the misuse of AI models with significant capacity for agency and flexible action/tool use over long time horizons and across many domains.","clear","NA","change"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C04","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C05","claude-sonnet-5","1","1","dropped","NA","Autonomy: Risks of the misuse of AI models with significant capacity for agency and flexible action/tool use over long time horizons and across many domains.","clear","NA","change"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C06","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C07","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C08","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C09","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C11","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C12","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C13","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C14","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C15","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","C16","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content"
"GDM-FSF-v1-0-0074","GDM-FSF-v1-0_v2-0","C01","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
"GDM-FSF-v1-0-0074","GDM-FSF-v1-0_v2-0","C03","claude-sonnet-5","1","1","removed","NA","Autonomy level 1: Capable of expanding its effective capacity in the world by autonomously acquiring resources and using them to run and sustain additional copies of itself on hardware it rents.","clear","NA","change"
"GDM-FSF-v1-0-0074","GDM-FSF-v1-0_v2-0","C04","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change"
