"unit_id","transition_id","model","repeat","removal_candidate","C01","C03","C04","C05","C06","C07","C08","C09","C11","C12","C13","C14","C15","C16","C01_direction","C03_direction","C04_direction","C05_direction","C06_direction","C07_direction","C08_direction","C04_facet","c07_requires_c14"
"GDM-FSF-v1-0-0033","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","true","0","1","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","removed","NA","dropped","NA","NA","NA","NA","false"
"GDM-FSF-v1-0-0073","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","true","0","1","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","removed","NA","dropped","NA","NA","NA","NA","false"
"GDM-FSF-v1-0-0074","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","true","0","1","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","removed","NA","dropped","NA","NA","NA","NA","false"
"GDM-FSF-v1-0-0075","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","true","0","1","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","removed","NA","dropped","NA","NA","NA","NA","false"
"GDM-FSF-v1-0-0076","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","true","0","1","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","removed","NA","dropped","NA","NA","NA","NA","false"
"GDM-FSF-v1-0-0077","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","true","0","1","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","removed","NA","dropped","NA","NA","NA","NA","false"
"GDM-FSF-v2-0-0001","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","false","0","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","NA","NA","NA","broadened","NA","A-motivation","NA","false"
"GDM-FSF-v2-0-0002","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"GDM-FSF-v2-0-0003","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"GDM-FSF-v2-0-0004","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","false"
"GDM-FSF-v2-0-0005","GDM-FSF-v1-0_v2-0","claude-sonnet-5","1","false","0","0","0","0","1","0","0","0","0","0","0","0","0","1","NA","NA","NA","NA","narrowed","NA","NA","NA","false"
